URI,Created,Works,Environment,Parent Collection,Url to collection online,Sheet Creator,Sheet Done,Date Created,Archipelago Collection,Notes,Errors
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/londonmaps_public_domain-2020-04-15%5B4%5D,2020-04-15T13:42:39.717000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/e7/b2/e8/91/e7b2e891-7db7-4584-890c-3310c9a90456,2018-12-18T17:15:26.333000+00:00,0,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-3,2026-02-17T21:49:13.198000+00:00,8,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/alice_in_wonderland_test_3,2019-01-10T21:09:31.331000+00:00,28,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/batch-service-maps-tests,2024-11-05T19:04:34.538000+00:00,141,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/cole-papers,2025-12-15T20:58:31.229000+00:00,26,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts,2022-07-13T17:33:11.450000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_batch_4,2021-06-03T00:58:30.060000+00:00,272,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B5%5D,2022-11-09T22:21:56.385000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/20/d5/bc/11/20d5bc11-1f51-487c-8ef6-00a5ece451aa,2022-01-26T22:34:57.874000+00:00,0,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mark-kevin-james-test-collection-20240924,2024-09-24T20:03:31.385000+00:00,11,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B4%5D,2022-11-09T22:21:56.314000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/cherokee-cant-reindex,2025-06-20T19:48:26.756000+00:00,176,pre,,,,,,,,
