field_name,collection,csv_file
ldp_contains,scifi-exhibit-2021,scifi-exhibit-2021.csv
dcterms_isPartOf,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_createdBy,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_language,scifi-exhibit-2021,scifi-exhibit-2021.csv
dcterms_extent,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_type,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_description,scifi-exhibit-2021,scifi-exhibit-2021.csv
dcterms_type,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_hasParent,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_format,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_rights,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_title,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_subject,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_created,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_publisher,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_lastModifiedBy,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_lastModified,scifi-exhibit-2021,scifi-exhibit-2021.csv
dcterms_issued,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_writable,scifi-exhibit-2021,scifi-exhibit-2021.csv
files,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_creator,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_identifer,scifi-exhibit-2021,scifi-exhibit-2021.csv
dc_contributor,scifi-exhibit-2021,scifi-exhibit-2021.csv
fedora_createdBy,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
fedora_created,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
ldp_contains,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dcterms_medium,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_publisher,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dcterms_extent,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_subject,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
fedora_hasParent,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_title,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_rights,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_format,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dcterms_isPartOf,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dc_language,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
dcterms_issued,Stephen_Powys_Marks_London_Collection,Stephen_Powys_Marks_London_Collection.csv
