dcterms_extent,dc_format,dc_contributor,dc_subject,dcterms_spatial,dcterms_type,dcterms_temporal,dcterms_isPartOf,fedora_hasParent,fedora_lastModified,dc_title,fedora_createdBy,dcterms_abstract,dc_identifier,dc_type,ldp_contains,fedora_lastModifiedBy,dc_rights,dcterms_created,fedora_writable,fedora_created,files,tamudigital_local/details,dc_description,dc_creator
1 black-and -white print (photograph); 11.5X17mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Francis, Mark, 1863-1936|Veterinary teachers|Theiler, Arnold, Sir, 1867-1936|Blackberg, Solon N.|Deans (Education)|Schmidt, Hubert, 1886-1958|Boog-Scott, J. E.|Wickes, Henry|Thaxton, Bill|Marsteller, R. P. (Ross Perry), 1882–1954|Agricultural and Mechanical College of Texas. School of Veterinary Medicine--Faculty|Lenert, August Albert|Price, Emmett W.|Cloud, L. G.|Branner, Victor J.|Kuttler, A. K.",College Station|Texas,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:24:23.278000+00:00,Foundation of Veterinary Medicine at the A&M College of Texas,fedoraAdmin,Faculty and administrators in the early days of the College of Veterinary Medicine. Back row left to right--Henry Wickes; A.K. Kuttler; Solomon Nathan Blackberg (misspelled as Blackleg; Victor J. Branner; Emmett W. Price; Bill Thaxton; A.A. Lennert. Front row left to right-- Unknown; Dr. Mark Francis; L.G. Cloud; Sir Arnold R. Theiler; Hubert Schmidt; J.E. Boog-Scott; Dr. R.P. Marsteller.,0684,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/467/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/467/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Between 1925 and 1935,false,2022-12-21T18:24:23.278000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/467/pages/page_0/files/CVM_0684.jpg,,,
1 color negative; Kodak Gold 400- 4 frames per strip,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Teaching Rounds|Veterinary teachers|Texas A & M University. College of Veterinary Medicine--Faculty|Animal health|Texas A & M University. College of Veterinary Medicine--Students|Veterinary students|Librarians|Roussel, Allen J.|Review|Case Management|Jaros, Joe",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:50:33.576000+00:00,"Clinical Hospital Rounds, number 16",fedoraAdmin,Group of people at a meeting. Dr. Allen Roussel is on left in light blue over white shirt; Joe Jaros is shown on right side in dark suit.,0581,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/367/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/367/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Between 1995 and 2000,false,2022-12-21T17:50:33.576000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/367/pages/page_0/files/CVM_0581.jpg,,,
1 color print (photograph); 20X25mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Barns|Large Animal Medicine|College buildings|College facilities|Texas A & M University. College of Veterinary Medicine--Buildings,College Station|Texas,StillImage,2000s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:47:29.199000+00:00,"New Hay Barn, number 2",fedoraAdmin,New hay barn -21 Nov 03.,0388,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/179/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/179/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,2003-11-21,false,2022-12-21T16:47:29.199000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/179/pages/page_0/files/CVM_0388.jpg,Written on photograph: 2003 New Equine Paddocks and Barns,,
1 black-and -white print (photograph); 8.5X12.5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Texas A & M University. College of Veterinary Medicine--Faculty|Veterinary teachers|Deans (Education)|Adams, Richard H.",College Station|Texas,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:06:14.383000+00:00,"Dean Adams, number 06",fedoraAdmin,Richard Adams- Images taken during a conversation or interview.,0442,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/235/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/235/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T17:06:14.383000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/235/pages/page_0/files/CVM_0442.jpg,,,
1 color print (photograph); 17.5X12.5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Miniature horses|Women college teachers|Barton, Claudia|Texas A & M University. College of Medicine--Faculty|Texas A & M University. College of Medicine--Benefactors|Bludworth, Karla|Large Animal Medicine and Surgery|Carter, Kent|Pearce, Glenda|Veterinary teachers|Hospitals, Animal",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:23:18.624000+00:00,"Karla Bludworth Enrichment Funds, number 5",fedoraAdmin,"Shown here left to right: Glenda Pearce, Dr. Claudia Barton, Karla Bludworth, and Dr. Kent Carter. Front and center is ""Wheeler Dealer"" the miniature horse belonging to Ms. Bludworth. Karla Bludworth of Hockley, Texas. She gifted $100,000 to the College of Veterinary Medicine for the caring service provided to her cat ""Sylvester.""",0681,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/464/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/464/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-28,false,2022-12-21T18:23:18.624000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/464/pages/page_0/files/CVM_0681.jpg,,,
1 color print (photograph); 10X15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Ophthalmologists--Retirement|Playter, Robert--Anniversaries, etc.|Special Events|College administrators--Retirement|Veterinary teachers--Retirement|Texas A & M University. College of Veterinary Medicine--Faculty|Playter, Robert|Feldman, Roger|Retirement|Deans (Education)--Retirement",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:30:51.204000+00:00,"Playter Retirement, number 08",fedoraAdmin,Dr. Playter gets a hug from Dr. Roger Feldman. Others in the room applaud.,0517,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/308/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/308/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-06,false,2022-12-21T17:30:51.204000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/308/pages/page_0/files/CVM_0517.jpg,,Photograph taken during June 1999.,
1 color print (photograph); 10mmX15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Animal housing|Stevenson Companion Animal Life-Care Center|Pet medicine|Small Animal Medicine|Stevenson Companion Animal Life-Care Center--Employees|Greenbaum, Ellie",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T15:57:08.960000+00:00,"Stevenson Center, number 023",fedoraAdmin,Ellie Greenbaum cleaning up an accident.,0364-37,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/155/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/155/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,false,2022-12-21T15:57:08.960000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/155/pages/page_0/files/CVM_0364-37.jpg,,,
1 color print (photograph); 15X10mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Douglas, Ronald|Ophthalmologists--Retirement|Playter, Robert--Anniversaries, etc.|Special Events|College administrators--Retirement|Veterinary teachers--Retirement|Texas A & M University. College of Veterinary Medicine--Faculty|Playter, Robert|College administrators|Deans (Education)--Retirement|Retirement",Texas|College Station,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:38:49.933000+00:00,"Playter Retirement, number 32",fedoraAdmin,Dr. Playter (left) speaks with Texas A&M University Provost Ronald Douglas (right).,0541,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/332/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/332/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-06,false,2022-12-21T17:38:49.933000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/332/pages/page_0/files/CVM_0541.jpg,,Photograph taken during June 1999.,
1 color negative; Kodak,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Dogs|Pets|Animal housing|Stevenson Companion Animal Life-Care Center|Pet medicine|Small Animal Medicine,College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:09:33.985000+00:00,"Stevenson Center Pet Residents, number 037",fedoraAdmin,"Canine resident ""Orphan Annie,"" who first came to the center in 1997.",0361-01,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/38/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/38/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,false,2022-12-21T16:09:33.985000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/38/pages/page_0/files/CVM_0361-1.jpg,,,
1 color print (photograph); 10X15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Camps|Kitchens|Hunting lodges,,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:14:30.621000+00:00,"Hunting, number 13",fedoraAdmin,Kitchen area of a hunting cabin.,0655,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/438/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/438/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T18:14:30.621000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/438/pages/page_0/files/CVM_0655.jpg,,,
1 color print (photograph); 10X15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Hunting dogs|Trucks|Hunters,,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:16:32.565000+00:00,"Hunting, number 19",fedoraAdmin,Two unidentified men are standing on the front grill stand with two hunting dogs. Another man is seen behind them in this frame and a brown dog is on the ground to the left of the truck.,0661,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/444/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/444/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T18:16:32.565000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/444/pages/page_0/files/CVM_0661.jpg,,,
1 color print (photograph); 11.5X17.5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Ceans (Education)|Bowen, Ray M., 1936-|Womack, James E.|Texas A & M University. College of Veterinary Medicine--Faculty|Award presentations|College presidents|Wolf Prize in Agriculture|Veterinary faculty|Adams, Richard H.",College Station|Texas,StillImage,2000s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:44:12.738000+00:00,Womack Wins Wolf Prize 02,fedoraAdmin,"Dr. James Womack speaks at podium while three men are seated behind him. Left to right: unnamed man, Dean Richard H. Adams, President Bowen.",0557,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/348/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/348/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,2001,false,2022-12-21T17:44:12.738000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/348/pages/page_0/files/CVM_0557.jpg,,,
1 color slide; 5X5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Horses|Large Animal Medicine and Surgery|McNeil, Katherine|Teaching Rounds|Education, Veterinary|Librarians",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:03:13.807000+00:00,"Clinical Rounds, number 8",fedoraAdmin,"Veterinary staff or student, and librarian Katherine McNeil are shown with a horse in an ICU stall.",0383,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/174/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/174/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1998-02-24,false,2022-12-21T16:03:13.807000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/174/pages/page_0/files/CVM_0383.jpg,,,
1 color negative; 5X5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Dogs on television|Amputees|Dogs|Mischief (Dog)|Miniature schnauzer,Texas|College Station,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:20:36.272000+00:00,"Canine Amputee, number 5",fedoraAdmin,"Mischief, the four-year-old miniature schnauzer, was featured on the first ""The Doc Is In"" segment on television, after having his leg amputated at the Texas A&M University College of Veterinary Medicine. ""The Doc Is In"" was a segment of the Public Broadcasting Service program, ""Cure and Caring,"" that featured the College of Veterinary Medicine. It first aired during the latter's second season in 1999 and was hosted by Dr. Dawn Boothe. This segment featured actual medical cases and discussed how the animals were treated. The show was broadcast from the studios of KAMU at Texas A&M and was produced by TeleVentures Productions.",0673,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/456/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/456/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-28,false,2022-12-21T18:20:36.272000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/456/pages/page_0/files/CVM_0673.jpg,,,
1 color print (photograph); 15X10mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Retirement|Deans (Education)--Retirement|Ophthalmologists--Retirement|Espitia, Norberto F.|Playter, Robert--Anniversaries, etc.|Special Events|College administrators--Retirement|Veterinary teachers--Retirement|Texas A & M University. College of Veterinary Medicine--Faculty",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:32:10.817000+00:00,"Playter Retirement, number 12",fedoraAdmin,Norberto F. Espitia speaks at the podium.,0521,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/312/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/312/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-06,false,2022-12-21T17:32:10.817000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/312/pages/page_0/files/CVM_0521.jpg,,Photograph taken during June 1999.,
1 color negative; Kodak,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Women veterinary students|Pet medicine|Small Animal Medicine|Harris, Kathleen|Human-animal relationships|Pets|Animal housing|Texas A & M University. College of Veterinary Medicine--Students|Veterinary students|Cats|Stevenson Companion Animal Life-Care Center",Texas|College Station,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T15:45:32.783000+00:00,"Stevenson Center Pet Residents, number 117",fedoraAdmin,"Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes brushes Methuselah"" resident feline.",0363-20,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/118/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/118/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,false,2022-12-21T15:45:32.783000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/118/pages/page_0/files/CVM_0363-20.jpg,,,
1 black-and-white negative; Kodak Film 5062-5 frames per strip,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Horses|Large Animal Medicine and Surgery|Horses--Equipment and supplies|Horses--Training|Animal immobilization,College Station|Texas,StillImage,1980s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:22:16.640000+00:00,"Equine Ear Twitch, number 2",fedoraAdmin,Demonstration of mild restraint.,0491,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/282/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/282/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1982-01-22,false,2022-12-21T17:22:16.640000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/282/pages/page_0/files/CVM_0491.jpg,"Written on photograph: photograph REQUEST (slip) : Sam Wigington, for the Dept. Large Animal Med. & Surg., TAMU, Breed: Appaloosa, 1 set in B W.",,
1 black-and -white print (photograph); 23.5X17mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Deans (Education)|College administrators|Boughton, Ivan Bertrand|Texas A & M University. College of Veterinary Medicine--Faculty|Veterinary teachers",College Station|Texas,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:49:49.916000+00:00,Ivan Boughton,fedoraAdmin,Faculty photograph of Dr. Ivan B. Boughton (1893-1974).,0395,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/186/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/186/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T16:49:49.916000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/186/pages/page_0/files/CVM_0395.jpg,,,
1 black-and -white print (photograph); 24X17mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Shelton, George Calvin, 1923-|Veterinary teachers|Texas A & M University. College of Veterinary Medicine--Faculty|Deans (Education)|College administrators",Texas|College Station,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:51:29.862000+00:00,"George Shelton, number 5",fedoraAdmin,Head shots of Dr. George Shelton (1923-2010).,0400,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/191/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/191/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T16:51:29.862000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/191/pages/page_0/files/CVM_0400.jpg,,,
