dc_subject,dc_format,fedora_created,ldp_contains,dc_summary,fedora_lastModified,dc_identifer,dc_creator,dc_type,fedora_createdBy,dcterms_extent,dc_language,dcterms_type,dc_rights,fedora_hasParent,dc_title,dcterms_isPartOf,dc_description,dc_publisher,fedora_lastModifiedBy,dcterms_issued,fedora_writable,files,dc_contributor
Fathers and daughters|Southern California|Extinct animals|Environmentalists,reformatted digital,2022-11-16T22:00:31.182000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/8/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/8/pages,"In the year  2025, Tyrone O'Shaughnessy Tierwater is eking out a bleak living in Southern California, managing a pop star's private menagerie of exotic animals.  Meanwhile, global warming is a reality. The biosphere has collapsed in a grim but pointed way, and most of the major mammalian species - not to mention fish, birds and frogs - are extinct.  At one time, Ty was a passionate environmentalist, so committed to saving the earth that he became an eco-terrorist and, ultimately, a convicted felon. As a member of the radical environmental group Earth Forever!, he unwittingly endangered both his wife, Andrea, and his daughter, Sierra. Now, when he's just trying to survive in a world torn by obdurate storms and winnowing drought, Andrea comes back into his life.",2022-11-16T22:00:31.182000+00:00,1940590,"Boyle, T. Coraghessan",Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,A friend of the earth,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Viking,fedoraAdmin,2000,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/8/pages/page_0/files/Scifi2021BoyleAFriend.jpg,
Drug dealers|Biotechnology|Refuse collectors|Interpersonal relations,reformatted digital,2022-11-16T21:58:48.104000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/51/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/51/orderProxies,"In a ruined, nameless city of the future, Rachel makes her living as a scavenger. She finds a creature she names Borne entangled in the fur of Mord, a gigantic despotic bear that once prowled the corridors of a biotech firm, the Company, until he was experimented on, grew large, learned to fly, and broke free. Made insane by the company's torture of him, Mord terrorizes the city even as he provides sustenance for scavengers. At first, Borne looks like nothing at all--just a green lump that might be a discard from the Company, which, although severely damaged, is rumored to still make creatures and send them to far-distant places that have not yet suffered collapse. Borne reminds Rachel of the island nation of her birth, now long lost to rising seas. She feels an attachment that she resents: attachments are traps, and in this world any weakness can kill you. Yet when she takes Borne to her subterranean sanctuary, Rachel convinces her lover, Wick--a special kind of dealer--not to render down Borne as raw genetic material for the drugs he sells. But nothing is quite the way it seems: not the past, not the present, not the future. If Wick is hiding secrets, so is Rachel--and Borne most of all. What Rachel finds hidden deep within the Company will change everything and everyone. There, lost and forgotten things have lingered and grown. What they have grown into is mighty indeed.",2022-11-16T21:58:48.104000+00:00,5432511,"VanderMeer, Jeff",Science fiction|Apocalyptic fiction|book jackets,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Borne,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",MCD Farrar Straus and Giroux,fedoraAdmin,2017,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/51/pages/page_0/files/Scifi2021VendermeerBorne.jpg,
Sisters|Orphans|Missing persons|Restoration ecology,reformatted digital,2022-11-16T22:00:31.045000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/79/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/79/orderProxies,"Coryn Williams has grown up in the megacity of Seacouver, where her every need is provided for--except satisfaction with her life. After her parents' suicides, her sister Lou fled the city to work on a rewilding crew, restoring lands once driven to the brink of ecological disaster by humans to a more natural state. Finally of age, Coryn leaves the city with her companion robot to look for her sister. But the outside world is not what she expects--it is rougher and more dangerous, and while some people help her, some resent the city and some covet her most precious resource: her companion robot. As Coryn struggles toward her sister, she uncovers a group of people with a sinister agenda that may endanger Seacouver. When Coryn does find her sister, Lou has secrets she won't share. Can Coryn and Lou learn to trust each other in order to discover the truth hidden behind the surface and to save both Seacouver and the rewilded lands?",2022-11-16T22:00:31.045000+00:00,5454041,"Cooper, Brenda, 1960-",Ecofiction|book jackets,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Wilders,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Pyr,fedoraAdmin,2017,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/79/pages/page_0/files/Scifi2021CooperWilders.jpg,
Tennessee|Global environmental change|Endangered species|Monarch butterfly|Climatic changes,reformatted digital,2022-11-16T21:56:31.203000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/2/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/2/pages,"Set in the present day in the rural community of Feathertown, Tennessee, this novel tells the story of Dellarobia Turnbow, a petite, razor-sharp 29-year-old who nurtured worldly ambitions before becoming pregnant and marrying at seventeen. Now, after more than a decade of tending to small children on a failing farm, oppressed by poverty, isolation and her husband's antagonistic family, she has mitigated her boredom by surrendering to an obsessive flirtation with a handsome younger man. In the opening scene, Dellarobia is headed for a secluded mountain cabin to meet this man and initiate what she expects will be a self-destructive affair. But the tryst never happens. Instead, she walks into something on the mountainside she cannot explain or understand: a forested valley filled with a lake of silent red fire that appears to her a miracle. In reality, the forest is ablaze with millions of butterflies. Their usual migratory route has been disrupted, and what looks to be a stunningly beautiful view is really an ominous sign, for the Appalachian winter could prove to be the demise of the species. Her discovery of this phenomenon ignites a media and religious firestorm that changes her life forever. After years lived entirely in the confines of one small house, Dellarobia finds her path suddenly opening out, chapter by chapter, into blunt and confrontational engagement with her family, her church, her town, her continent, and finally the world at large.",2022-11-16T21:56:31.203000+00:00,4037625,"Kingsolver, Barbara",Ecofiction|book jackets|Thrillers (Fiction),fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Flight behavior : a novel,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Harper,fedoraAdmin,[2012],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/2/pages/page_0/files/Scifi2021KingsolverFlight.jpg,
United States|Environmental films|Day after tomorrow (Motion picture),reformatted digital,2022-11-16T21:55:56.515000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/108/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/108/pages,Movie poster of the 2004 movie The Day after Tomorrow,2022-11-16T21:55:56.515000+00:00,,,Posters|film posters,fedoraAdmin,1 poster with colored illustrations and text; 102 x 69 cm,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,"The Day after tomorrow : May 28, where will you be?",Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Twentieth Century-Fox Film Corporation,fedoraAdmin,2004,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/108/pages/page_0/files/DafterTomorrow.jpg,
Dystopias|Genetically modified foods|Food,reformatted digital,2022-11-16T21:57:05.564000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/24/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/24/orderProxies,"""In 2022, GMOs were banned. A biopharmaceutical caused the Catastrophe: worldwide economic and agricultural collapse, and personal tragedy for lawyer Caroline Denton and her son. Ten years later, as Renata Black, she is a member of the Org, an underground group of scientists hunted by the feds. But the Org's illegal food-research might just hold the key to rebuilding the worlds' food supply.""--Provided by publisher.",2022-11-16T21:57:05.564000+00:00,5969629,"Kress, Nancy",book jackets|Science fiction|Spy fiction|Apocalyptic fiction|Dystopian fiction|Ecofiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Sea change,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Tachyon Publications,fedoraAdmin,[2020],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/24/pages/page_0/files/Scifi2021NancySea.jpg,
Capitalism|Islands--China|Social classes|Viruses|Dystopias|Survival|Social conflict|Electronic waste--Recycling,reformatted digital,2022-11-16T21:59:57.402000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/73/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/73/pages,"Located off China's southeastern coast, Silicon Isle is the global capital for electronic waste recycling. Mimi is a 'waste girl', the lowest caste on the island. She's one of thousands combing the waste for recyclables. But Silicon Isle is where the rotten fruits of capitalism and consumer culture come to their toxic end. The land is hopelessly polluted , the workers utterly at the mercy of those in power. And now a storm is gathering, as ruthless local gangs skirmish for control, eco-terrorists conspire, investors hunger for profit, and a Chinese-American interpreter searches for his roots. As these forces collide, conflict erupts - a war between rich and poor, a battle between past and future. Mimi must decide if she will remain a pawn... or change the rules of the game altogether",2022-11-16T21:59:57.402000+00:00,5875089,"Chen, Qiufan, 1981-",Dystopian fiction|Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Waste tide,Science Fiction & Fantasy Research Collection,"Book jacket image of the First U.S. edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Tor,fedoraAdmin,2019,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/73/pages/page_0/files/Scifi2021QiufanWaste.jpg,
Climatic changes|Earth (Planet)--Rotation,reformatted digital,2022-11-16T22:01:04.567000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/87/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/87/pages,"In 1890s, an international auction is organized to define the sovereign rights to the part of the Arctic extending from the 84th parallel, the highest yet reached by man, to the North Pole. Several countries send their official delegates, but the auction is won by a representative from an anonymous United States buyer, later revealed to be Barbicane and Co., a company founded by Impey Barbicane, J.T. Maston and Captain Nicholl — the same members of the Baltimore Gun Club who, twenty years earlier, had traveled around the Moon inside a large cannon shell. The brave gunmen-astronauts had come out of their retirement with an even more ambitious engineering project: using the recoil of a huge cannon to remove the tilt of the Earth's axis — so that it would become perpendicular to the planet's orbit, like Jupiter's.",2022-11-16T22:01:04.567000+00:00,5287589,"Verne, Jules, 1828-1905",book jackets|Science fiction|Ecofiction,fedoraAdmin,Book cover,eng,StillImage|Text,"No copyright - United States; for more information, see https://rightsstatements.org/page/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The purchase of the North Pole : a sequel to From the earth to the Moon,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Sampson Low Marston & Company Limited,fedoraAdmin,[1891],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/87/pages/page_0/files/Scifi2021VerneThe.jpg,
Imaginary wars and battles|Conservation of natural resources|Princesses,reformatted digital,2022-11-16T21:56:38.438000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/19/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/19/orderProxies,"An epic fantasy about the princess of a small kingdom who becomes involved in a war, while environmental disaster threatens the survival of humankind. On her journey, she struggles to bring about a peaceful coexistence among the people of her world, as well as between humanity and nature.",2022-11-16T21:56:38.438000+00:00,5991848,"Miyazaki, Hayao, 1941-",Fantasy comics|Apocalyptic fiction|Comics (Graphic works)|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Nausicaä of the Valley of the Wind,Science Fiction & Fantasy Research Collection,"Book jacket image of the Deluxe edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",VIZ Media,fedoraAdmin,2012,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/19/pages/page_0/files/Scifi2021MiyazakiNausicaa_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/19/pages/page_1/files/Scifi2021MiyazakiNausicaa_2.jpg,
Climatic changes,reformatted digital,2022-11-16T21:57:39.277000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/32/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/32/orderProxies,"These 19 stories explore meteorological, agricultural and biological technologies, alternative histories, arcologies and communes, the beauty in flooded cities, innovations in cross-continental travel, animals on the verge of extinction, androids, reality tv shows, new food sources, environmental refugees, blurring the divide between humans and animals, and friendship, family and love.",2022-11-16T21:57:39.277000+00:00,5969009,,Science fiction|Short stories|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Ecopunk!,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Ticonderoga Publications,fedoraAdmin,[2017],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/32/pages/page_0/files/Scifi2021Ecopunk.jpg,
Quests (Expeditions)|Ice-boats|Climatic changes|Glacial epoch|Dystopias,reformatted digital,2022-11-16T22:00:31.678000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/81/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/81/orderProxies,"During a futuristic ice age when Earth and her cities lie beneath layers of ice after a nuclear war, Konrad is given command of an ice vessel after encountering a dying man.  His command is short-lived for the ice-age is ending, and his idol, the Ice Mother, has fallen.  As he sails north toward New York. Konrad sees the quest almost as a pilgrimage to the Ice Mother while some of the other passengers see the voyage as a manifestation of the changing world.",2022-11-16T22:00:31.678000+00:00,408085,"Moorcock, Michael, 1939-",Dystopian fiction|Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The ice schooner,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Berkley Pub.,fedoraAdmin,[1969],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/81/pages/page_0/files/Scifi2021MoorcockThe.jpg,
Renewable energy sources|Sustainability|Solar energy,reformatted digital,2022-11-16T21:57:05.999000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/27/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/27/pages,"The first anthology to broadly collect solarpunk short fiction, artwork, and poetry. A new genre for the 21st Century, solarpunk is a revolution against despair. Focusing on solutions to environmental disasters, solarpunk envisions a future of green, sustainable energy used by societies that value inclusiveness, cooperation, and personal freedom.  Sunvault focuses on the stories of those inhabiting the crucial moments when great change can be made by people with the right tools; stories of people living during tipping points, and the spaces before and after them; and stories of those who fight to effect change and seek solutions to ecological disruption.",2022-11-16T21:57:05.999000+00:00,5968876,,book jackets|Science fiction|Ecofiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Sunvault : stories of solarpunk and eco-speculation,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Upper Rubber Boot Books,fedoraAdmin,[2017],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/27/pages/page_0/files/Scifi2021Sunvault.jpg,
Robots|Animated films|WALL-E (Motion picture)|United States|Science fiction films,reformatted digital,2022-11-16T21:55:56.515000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/109/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/109/orderProxies,Movie poster of the 2008 movie WALL-E,2022-11-16T21:55:56.515000+00:00,,,Posters|film posters,fedoraAdmin,1 poster with colored illustrations and text; 102 x 69 cm,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,"WALL-E, June 27 : from the humans who brought you ""Finding Nemo""",Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Pixar,fedoraAdmin,2008,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/109/pages/page_0/files/WALLE.jpg,
Twenty-second century|Sea level|New York (State)--New York|Interpersonal relations|Climatic changes,reformatted digital,2022-11-16T21:59:22.420000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/60/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/60/orderProxies,"As the sea levels rose, every skyscraper in New York City became an island. In one apartment building in Madison Square there is the market trader, who finds opportunities where others find trouble. There is the detective, whose work will never disappear. There is the internet star, and the building's manager, and two boys who don't live there, but have no other home. And then there are the coders, temporary residents on the roof, whose disappearance triggers a sequence of events that threatens even the long-hidden foundations on which the city rests.",2022-11-16T21:59:22.420000+00:00,5422763,"Robinson, Kim Stanley",Science fiction|Apocalyptic fiction|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,New York 2140,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Orbit,fedoraAdmin,2017,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/60/pages/page_0/files/Scifi2021RobinsonNew.jpg,
