dcterms_extent,dc_format,dc_description,fedora_lastModifiedBy,dc_language,dc_rights,fedora_lastModified,dc_title,fedora_created,dc_contributor,fedora_writable,fedora_hasParent,dc_type,dcterms_type,dc_identifier,dc_subject,ldp_contains,dc_coverage,dc_creator,dc_publisher,dc_date,dcterms_lcc,fedora_createdBy,files,dcterms_spatial
1 map 71 x 101 cm,application/tif|reformatted digital,"St. George Hanover Square, St. Margaret, St. Martin in the Fields, St. John the Evangelist, St. James Westminster, St. Luke Chelsea, St. Mary Abbotts Kensington P.H.S. St. Margaret Westminster PH. (Det.d.) & close of the Collegiate Church of St. Peter (Ex. Par)|Cartographic material|Scale 1:2,500. 25.344 in. = 1 mile|Includes index to the 5 feet plans in this sheet",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:14:39.080000+00:00,London.,2023-11-13T21:14:39.080000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4035006,"Westminster (London, England)--Maps|London (England)--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/44/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/44/pages,"Westminster (London, England)--Maps|London (England)--Maps",Great Britain Ordnance Survey,[Ordnance Survey],1878,G5754.W54 1869 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/44/pages/page_0/files/londonmaps_4035006.jpg,
7 unnumbered plates : llustrations ; 36 cm,application/tif|reformatted digital,"""From the drawing in the possession of the Corporation of London.""--On each leaf.|Handwritten title on portfolio cover.|Plate 15. Southwark iron bridge from Bankside -- plate 16. Part of new and old London bridges -- plate 17. First arch of Southwark shore-lock of old bridge looking east -- plate 18. Northern part of the new and old London bridges -- plate 19. View between the new and old bridges looking north -- plate 20. Crypt of St. Thomas on the old London bridge -- plate 21. Old London bridge and fresh wharf.",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:20:31.758000+00:00,Seven drawings of London Bridge,2023-11-13T21:20:31.758000+00:00,City of London (England),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Drawing and Plans|Maps,Text,3972473,"London Bridge (London, England)--Pictorial works|London (England)--In art",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages,"London Bridge (London, England)--","Cooke, Edward William, 1811-1880",London Topographical Society,1913,NC242.C54 A4 1913,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_0/files/3972473_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_1/files/3972473_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_2/files/3972473_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_3/files/3972473_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_4/files/3972473_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_5/files/3972473_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_6/files/3972473_7.jpg,
1 map 46 x 35 cm,application/tif|reformatted digital,"Cartographic material|Scale [ca. 1:2,360]|Once a fortified palace, the area of the Savoy is here taken up by a prison and prison yard, barracks, a hospital and a French church. The palace structure was badly damage during the Peasant Revolt of 1381, and in 1505 Henry VII ordered the palace to be rebuilt as a hospital, with St John the Baptist as its patron saint. The hospital was first used for soldiers in 1627 after the expedition to La Rochelle to help the Huguenots. By 1695 Sir Christopher Wren had built a military prison on the site. In 1661, after the Savoy conference about religious problems, French Protestants were given the use of the little chapel, rebuilt by Wren in 1685. The site was cleared from 1816 to 20 to make the approach to Waterloo Bridge|""Published according to Act of Parliament June 20 1754.""|Plate XIV from the second volume of: Vetusta monumenta",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:12:36.724000+00:00,"A plan of the ground and buildings in the Strand, called the Savoy, taken in the year 1736",2023-11-13T21:12:36.724000+00:00,Society of Antiquaries of London,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Early Maps,Cartographic Image,4033612,"Strand, The (London, England)--Maps--Early works to 1800|Savoy Hospital (London, England)--Maps--Early works to 1800",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/37/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/37/pages,"Strand, The (London, England)--Maps--Early works to 1800","Vertue, George, 1684-1756",Sumptibus Societ Ant Lond,1754,G5754.L7:2S85 1736 .V47,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/37/pages/page_0/files/londonmaps_4033612.jpg,
1 map color on sheet 31 x 48 cm,reformatted digital|application/tif,"King's Scholar's Pond Sewer, formerly the River Tyburn, also formerly known as the Aye Brook|Scale not given|Cartographic material",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:10:31.857000+00:00,Plan of the Air Brook near Stratford Place: copy from Mr. Luter's plan which he says was taken by him before the Aire Brook was covered over (see Lord Aldborough's note in the minutes of the Com[m]ittee of Works of the 7th July 1779) June 3d 1779 S.D.,2023-11-13T21:10:31.857000+00:00,"Aldborough, Edward Stratford, 1736-1801",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4026204,"Sewerage--England--London--Maps|Westminster (London, England)--Maps|Tyburne, River (England)--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/30/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/30/orderProxies,"Westminster (London, England)--Maps|Tyburne, River (England)--Maps",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,Sewers Westminster &c.,[between 1810 and 1829?],G5754.W54N46 1779 .G76,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/30/pages/page_0/files/londonmaps_4026204.jpg,
map 53 x 61 cm,application/tif|reformatted digital,"Relief shown pictorially|Facsimile|Includes panoramas of London and Greenwich|Cartographic material|""Emery Walker, ph. sc.""|Scale ca. [1:30,000]|Cushing Library copy is part of the Stephen Powys Marks London Collection",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:18:37.380000+00:00,"A prospect and map of London, showing the River Thames to Woolwich reach",2023-11-13T21:18:37.380000+00:00,London Topographical Society,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic image,2579907,"London (England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Maps--Early works to 1800--Facsimiles|Greenwich (London, England)--Aerial views--Early works to 1800--Facsimiles",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/7/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/7/orderProxies,"London (England)--Maps--Early works to 1800--Facsimiles|London (England)--Aerial views--Early works to 1800--Facsimiles|Greenwich (London, England)--Aerial views--Early works to 1800--Facsimiles","Moore, Jonas, 1617-1679",London Topographical Society,1912,G5754.L7 1662 .M6 1912,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/7/pages/page_0/files/londonmaps_2579907.jpg,
1 view 40 x 51 cm,application/tif|reformatted digital,"Emery Walker ph.sc|Includes dedication to the right honorable Sr. Ric. Saltonstall, text, coat-of-arms and ill|Cartographic material|Panorama|""Specta. et habes quantum ego cum privilegio.""|""Photoengraved by the courtesy of Sir Sidney Lee from an impression, unique in this state, engraved in the year 1597.""|Scale not given|Cushing Library copy is part of the Stephen Powys Marks London Collection",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:15:57.580000+00:00,The view of London Bridge from east to west,2023-11-13T21:15:57.580000+00:00,"Walker, Emery, 1851-1933",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Pictorial works,Still Image,2579833,"London Bridge (London, England)--Pictorial works--Early works to 1800--Facsimiles",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/5/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/5/pages,"London Bridge (London, England)--Pictorial works--Early works to 1800--Facsimiles","Norden, John, 1548-1625?",London Topographical Society,1919,G5754.L7:2L6A35 1597 .N6 1919,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/5/pages/page_0/files/londonmaps_2579833.jpg,
146 maps color 47 x 69 cm,application/tif|reformatted digital,Overprinted with military grid|Sheets are of either: Popular edition style or 5th edition style|Relief shown by contours and spot heights. Depth shown by contours|Scale 1:63 360. 1 in. = 1 statute mile|W.O. [War Office] Cassini Grid|Cartographic material|Ordnance Survey of England & Wales,fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:08:42.795000+00:00,Ordnance Survey of England and Wales.,2023-11-13T21:08:42.795000+00:00,Great Britain War Office General Staff Geographical Section,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4015508,Wales--Maps|England--Maps,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages,Wales ---maps|England ---maps|Wales--Maps|England--Maps,Great Britain Ordnance Survey,War Office,1940-1944.,G5750 s63 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_0/files/londonmaps_4015508_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_1/files/londonmaps_4015508_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_2/files/londonmaps_4015508_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_3/files/londonmaps_4015508_4.jpg,
1 map overlay 49 x 34 cm,application/tif|reformatted digital,"Cartographic material|The River Fleet is the largest of London's subterranean rivers. Its two headwaters are two streams on Hampstead Heath; each is now dammed into a series of ponds made in the 18th century, the Hampstead Ponds and the Highgate Ponds. At the south edge of Hampstead Heath these two streams flow underground as sewers which join in Camden Town. From the ponds the water flows underground for 4 miles (6.4 km) to join the River Thames|Scale not given",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:12:05.879000+00:00,The Fleet.,2023-11-13T21:12:05.879000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4026617,"Fleet, River (England)--Maps|Sewerage--England--London--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/34/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/34/orderProxies,"Fleet, River (England)--Maps",London County Council,L.C.C.,[between 1850 and 1869?],G5754.L7N46 1850 .L7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/34/pages/page_0/files/londonmaps_4026617.jpg,
"1 map on 7 sheets color 54 x 137 cm., or smaller",application/tif|reformatted digital,"Bound|Cartographic material|Scale [ca. 1:824]|Tybourne, 1817|Hand-colored|The Tyburn is a stream in London, which runs underground from South Hampstead through St. James's Park to meet the River Thames at Pimlico near Vauxhall Bridge. Before it was covered over, the Tyburn arose from the confluence of two tributary streams from the hills of Hampstead. At what is now St. James's Park, it split into three branches, two of which formed Thorney Island on which Westminster Abbey was built. The Tyburn is now completely enclosed and flows through underground conduits for its entire length, including one underneath Buckingham Palace. Marylebone Lane (W1) follows the course of the Tyburn on what was its left bank through Marylebone village. From its source at the Shepherd's Well near Fitzjohns Avenue in Hampstead it flowed south through Swiss Cottage down to Regent's Park. In the park the Tyburn is carried in an aqueduct over the Regent's Canal",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:11:30.696000+00:00,Plan shewing the course of the Tybourne: from the L.C.C. drawings.,2023-11-13T21:11:30.696000+00:00,London County Council,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4026198,"Sewerage--England--London--Maps|Westminster (London, England)--Maps|Tyburne, River (England)--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/orderProxies,"Westminster (London, England)--Maps|Tyburne, River (England)--Maps",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,"""Sewers Westminster Etc.""",1817,G5754.W54N46 1817 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_0/files/londonmaps_4026198_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_1/files/londonmaps_4026198_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_2/files/londonmaps_4026198_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_3/files/londonmaps_4026198_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_4/files/londonmaps_4026198_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_5/files/londonmaps_4026198_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_6/files/londonmaps_4026198_7.jpg,
1 map 29 x 77 cm. on 2 sheets 57 x 75 cm. in cover 79 x 58 cm,application/tif|reformatted digital,"Has watermark|""Walker & Boutall, ph. sc.""|[London]: Printed & sould by Robt. Walton, 1660|Scale [ca. 1:15,000]|Newest and exactest mapp of the most famous citties, London and Westminster, with their suburbs; and the manner of their streets, with the names of the chiefest of them ..|Cartographic material|Includes text, index, and 2 coats of arms|Text on cover|Bird's-eye-view|""Reproduced from the practically unique example in the library of the Society of Antiquaries.""",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:06:20.499000+00:00,"Map of London and Westminster, ab. A.D. 1660",2023-11-13T21:06:20.499000+00:00,"Walton, Robert,|London Topographical Society",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Aerial views,Cartographic Image,4002150,"London (England)--Aerial views--Early works to 1800--Facsimiles|Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/21/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/21/pages,"Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Aerial views--Early works to 1800--Facsimiles","Porter, Thomas, active 1654-1668",London Topographical Society,1898,G5754.L7A3 1660 .P6 1898,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/21/pages/page_0/files/londonmaps_4002150_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/21/pages/page_1/files/londonmaps_4002150_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/21/pages/page_2/files/londonmaps_4002150_3.jpg,
1 map color on sheet 43 x 52 cm,application/tif|reformatted digital,"Cartographic material|King's Scholar's Pond Sewer, formerly the River Tyburn, also formerly known as the Aye Brook|Scale [ca. 1:179]",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:10:38.407000+00:00,"Plan of the intended sewer at Stratford Place petitioned for by Earl Poulett: see minutes of the Committee of Works, 2nd June 1779",2023-11-13T21:10:38.407000+00:00,"Poulett, John Poulett, 1756-1819",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4026210,"Sewerage--England--London--Maps|Westminster (London, England)--Maps|Tyburne, River (England)--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/31/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/31/pages,"Westminster (London, England)--Maps|Tyburne, River (England)--Maps",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,Sewers Westminster &c.,[between 1810 and 1929?],G5754.W54N46 1779 .G77,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/31/pages/page_0/files/londonmaps_4026210.jpg,
maps some color sheets 73 x 106 cm,reformatted digital|application/tif,"Scale [ca. 1:2,500]. 25.344 inches to a statute mile or 208.33 feet to one inch|Reprinted in various years|Cartographic material",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:41:28.437000+00:00,London. Middlesex: edition of 1894-96.,2023-11-13T21:41:28.437000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4036817,Middlesex (England)--Maps|London (England)--Maps,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/orderProxies,Middlesex (England)--Maps|London (England)--Maps,Great Britain Ordnance Survey,Photozincographed and published by the Director General at the Ordnance Survey Office,1896-1897.,G5754.L7 s2 1894 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_0/files/londonmaps_4036817_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_1/files/londonmaps_4036817_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_2/files/londonmaps_4036817_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_3/files/londonmaps_4036817_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_4/files/londonmaps_4036817_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_5/files/londonmaps_4036817_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_6/files/londonmaps_4036817_7.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/48/pages/page_7/files/londonmaps_4036817_8.jpg,
1 map 70 x 101 cm,application/tif|reformatted digital,"Cartographic material|Scale [ca. 1:1,056]. 5ft. = 1 mile or 88 ft. = 1 in|Liberty of the Clink|City and county of the City of London|Includes position of sheet on the plans of the 1:2,500 scale survey",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:14:39.791000+00:00,London (cos. Middlesex and Surrey).,2023-11-13T21:14:39.791000+00:00,"James, H., 1803-1877",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4035012,"Southwark (London, England)--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/45/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/45/pages,"Southwark (London, England)--Maps",Great Britain Ordnance Survey,[Ordnance Survey],1875,G5754.S6 1873 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/45/pages/page_0/files/londonmaps_4035012.jpg,
